Mun;CodIBGE;Tx_Roub2002;Tx_Roub2003;Tx_Roub2004;Tx_Roub2005;Tx_Roub2006;Tx_Roub2007;Tx_Roub2008;Tx_Roub2009;Tx_Roub2010;Tx_Roub2011;Tx_Roub2012;Tx_Roub2013;Tx_Roub2014;Tx_Roub2015;Tx_RoubVei2002;Tx_RoubVei2003;Tx_RoubVei2004;Tx_RoubVei2005;Tx_RoubVei2006;Tx_RoubVei2007;Tx_RoubVei2008;Tx_RoubVei2009;Tx_RoubVei2010;Tx_RoubVei2011;Tx_RoubVei2012;Tx_RoubVei2013;Tx_RoubVei2014;Tx_RoubVei2015;Tx_Latro2002;Tx_Latro2003;Tx_Latro2004;Tx_Latro2005;Tx_Latro2006;Tx_Latro2007;Tx_Latro2008;Tx_Latro2009;Tx_Latro2010;Tx_Latro2011;Tx_Latro2012;Tx_Latro2013;Tx_Latro2014;Tx_Latro2015;Tx_Furt2002;Tx_Furt2003;Tx_Furt2004;Tx_Furt2005;Tx_Furt2006;Tx_Furt2007;Tx_Furt2008;Tx_Furt2009;Tx_Furt2010;Tx_Furt2011;Tx_Furt2012;Tx_Furt2013;Tx_Furt2014;Tx_Furt2015;Tx_HomDol2002;Tx_HomDol2003;Tx_HomDol2004;Tx_HomDol2005;Tx_HomDol2006;Tx_HomDol2007;Tx_HomDol2008;Tx_HomDol2009;Tx_HomDol2010;Tx_HomDol2011;Tx_HomDol2012;Tx_HomDol2013;Tx_HomDol2014;Tx_HomDol2015;Tx_FurtVei2002;Tx_FurtVei2003;Tx_FurtVei2004;Tx_FurtVei2005;Tx_FurtVei2006;Tx_FurtVei2007;Tx_FurtVei2008;Tx_FurtVei2009;Tx_FurtVei2010;Tx_FurtVei2011;Tx_FurtVei2012;Tx_FurtVei2013;Tx_FurtVei2014;Tx_FurtVei2015;Tx_ExtoMS2002;Tx_ExtoMS2003;Tx_ExtoMS2004;Tx_ExtoMS2005;Tx_ExtoMS2006;Tx_ExtoMS2007;Tx_ExtoMS2008;Tx_ExtoMS2009;Tx_ExtoMS2010;Tx_ExtoMS2011;Tx_ExtoMS2012;Tx_ExtoMS2013;Tx_ExtoMS2014;Tx_ExtoMS2015;Tx_Exto2002;Tx_Exto2003;Tx_Exto2004;Tx_Exto2005;Tx_Exto2006;Tx_Exto2007;Tx_Exto2008;Tx_Exto2009;Tx_Exto2010;Tx_Exto2011;Tx_Exto2012;Tx_Exto2013;Tx_Exto2014;Tx_Exto2015;Tx_Este2002;Tx_Este2003;Tx_Este2004;Tx_Este2005;Tx_Este2006;Tx_Este2007;Tx_Este2008;Tx_Este2009;Tx_Este2010;Tx_Este2011;Tx_Este2012;Tx_Este2013;Tx_Este2014;Tx_Este2015;Tx_EntTra2002;Tx_EntTra2003;Tx_EntTra2004;Tx_EntTra2005;Tx_EntTra2006;Tx_EntTra2007;Tx_EntTra2008;Tx_EntTra2009;Tx_EntTra2010;Tx_EntTra2011;Tx_EntTra2012;Tx_EntTra2013;Tx_EntTra2014;Tx_EntTra2015;Tx_EntPosse2002;Tx_EntPosse2003;Tx_EntPosse2004;Tx_EntPosse2005;Tx_EntPosse2006;Tx_EntPosse2007;Tx_EntPosse2008;Tx_EntPosse2009;Tx_EntPosse2010;Tx_EntPosse2011;Tx_EntPosse2012;Tx_EntPosse2013;Tx_EntPosse2014;Tx_EntPosse2015;Tx_DelCorrup2002;Tx_DelCorrup2003;Tx_DelCorrup2004;Tx_DelCorrup2005;Tx_DelCorrup2006;Tx_DelCorrup2007;Tx_DelCorrup2008;Tx_DelCorrup2009;Tx_DelCorrup2010;Tx_DelCorrup2011;Tx_DelCorrup2012;Tx_DelCorrup2013;Tx_DelCorrup2014;Tx_DelCorrup2015;Tx_DelArmMun2002;Tx_DelArmMun2003;Tx_DelArmMun2004;Tx_DelArmMun2005;Tx_DelArmMun2006;Tx_DelArmMun2007;Tx_DelArmMun2008;Tx_DelArmMun2009;Tx_DelArmMun2010;Tx_DelArmMun2011;Tx_DelArmMun2012;Tx_DelArmMun2013;Tx_DelArmMun2014;Tx_DelArmMun2015
Candiota;4304358;12,00624325;59,25574781;11,75502527;46,52244708;11,48237456;45,67774352;135,7159014;67,26457399;66,7928309;22,25684398;22,22222222;0;65,78947368;54,4780998;0;0;0;0;0;0;11,30965845;11,21076233;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1620,843;2500,593;2409,78;1791,114;1779,768;2261,048;2239,312;2152,466;3072,47;2147,785;1877,778;1856,559;2127,193;2353,454;0;11,851;47,02;11,631;34,447;11,419;22,619;33,632;0;11,128;11,111;0;0;0;24,012;11,851;11,755;11,631;11,482;34,258;22,619;123,318;66,793;22,257;44,444;33,153;10,965;141,643;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12,006;0;0;0;11,482;0;0;11,211;0;0;0;11,051;0;10,896;60,031;106,66;129,305;0;195,2;91,355;101,787;336,323;33,396;66,771;88,889;33,153;87,719;76,269;0;0;11,755;0;0;0;11,31;11,211;11,132;11,128;11,111;0;0;32,687;12,006;11,851;0;0;0;11,419;0;0;33,396;0;0;33,153;21,93;21,791;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;129,305;93,045;22,965;91,355;45,239;33,632;55,661;77,899;33,333;33,153;43,86;54,478
Canela;4304408;166,4973473;149,4892451;146,4446493;173,0011711;162,0618449;164,6471663;121,5959468;149,614742;110,5515293;109,5396899;117,7233741;134,4276213;137,1423258;203,8245735;8,465966813;2,768319353;8,135813853;7,984669435;10,4556029;7,717835919;7,599746675;2,493579034;7,370101953;2,434215331;7,207553516;4,716758643;11,622231;0;2,821988938;0;0;0;5,227801448;0;0;0;2,456700651;0;0;0;2,324446201;0;2074,162;2784,929;2703,802;2472,586;2004,862;1808,546;1798,607;2069,671;1692,667;1713,688;1823,511;2205,085;2287,255;1987,862;11,288;0;8,136;7,985;13,07;5,145;15,199;0;9,827;9,737;0;9,434;11,622;18,321;84,66;171,636;143,733;119,77;96,714;72,033;68,398;117,198;49,134;43,816;60,063;96,694;102,276;96,187;0;0;0;0;0;0;0;0;2,457;0;0;2,358;0;0;2,822;5,537;5,424;2,662;13,07;7,718;12,666;4,987;4,913;2,434;4,805;0;2,324;4,58;126,99;179,941;113,901;159,693;214,34;210,954;210,26;192,006;137,575;131,448;175,384;214,613;167,36;174,052;25,398;22,147;40,679;31,939;41,822;38,589;55,731;64,833;61,418;109,54;105,711;94,335;178,982;125,959;56,44;96,891;151,869;202,278;214,34;154,357;98,797;92,262;149,859;165,527;129,736;122,636;185,956;153,441;0;0;0;0;0;2,573;0;0;0;9,737;0;7,075;0;0;0;0;89,494;74,524;75,803;64,315;45,598;52,365;58,961;24,342;40,843;51,884;60,436;29,772
Canguçu;4304507;85,47333232;66,0078455;50,54192172;59,53045355;48,0449405;130,4859222;115,3634865;104,0335828;49,20273349;62,22205955;36,53702114;52,796388;43,52241404;54,5464463;3,79881477;0;0;0;9,239411634;1,83782989;5,493499359;1,825150575;7,28929385;3,66012115;3,653702114;7,282260414;1,813433918;1,818214877;0;0;0;0;1,847882327;1,83782989;0;0;0;0;0;1,820565103;0;0;547,029;782,664;844,237;837,147;803,829;946,482;847,83;792,115;716,173;772,286;535,267;682,712;770,709;943,654;3,799;3,772;5,616;1,86;3,696;7,351;5,493;1,825;5,467;3,66;7,307;3,641;3,627;5,455;20,893;50,92;37,438;37,207;38,806;36,757;43,948;54,755;47,38;47,582;40,191;47,335;39,896;52,728;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,744;3,721;0;5,513;0;1,825;3,645;5,49;0;0;0;1,818;24,692;45,263;48,67;50,229;24,022;55,135;67,753;54,755;36,446;40,261;60,286;38,232;21,761;32,728;3,799;0;5,616;3,721;1,848;0;10,987;10,951;18,223;21,961;10,961;25,488;16,321;18,182;13,296;7,544;9,36;0;12,935;14,703;9,156;9,126;12,756;27,451;16,442;20,026;18,134;10,909;0;0;0;0;0;0;0;0;0;0;1,827;0;3,627;1,818;0;0;35,567;26,045;48,045;34,919;43,948;45,629;41,913;60,392;16,442;54,617;39,896;69,092
Canoas;4304606;1037,531234;1374,19059;1339,817728;1232,568185;1189,26692;1082,551373;1070,691551;1055,078256;771,9861476;606,1231105;685,1232872;749,1058361;929,1651267;1170,957517;178,2067706;201,9206009;395,1622188;351,1045292;373,8832456;317,5403073;334,4028198;340,4250227;235,4305079;269,6172319;285,5409528;189,9466821;267,3176266;308,416756;1,585469489;2,198202498;1,244605413;3,085277058;2,14172072;1,821454917;0,301263802;0;0,594521485;0,589327283;0,291665938;1,732036615;1,432570346;1,14017285;2055,086;2545,204;2483,921;2234,049;2125,199;2245,247;2070,285;1656,356;1677,145;1648,938;1643,829;1646,301;1755,472;1510,444;19,343;21,354;13,068;20,671;18,97;21,25;24,704;31,41;24,078;25,341;32,958;29,445;30,657;38,481;346,901;307,434;342,889;270,27;265,879;226,771;239,203;250,383;180,14;211,274;201,833;161,079;217,178;314,118;0;0,314;0,311;0,617;0,306;0,607;0,301;0;0;0;0,583;0,289;0,573;0,855;2,854;2,826;1,867;2,468;5,813;3,946;3,314;7,179;3,864;2,947;3,208;4,619;6,303;3,991;135,082;131,264;114,504;133,592;122,078;174,253;175,034;162,136;178,356;207,738;159,25;177,822;138,673;120,858;12,367;9,735;10,89;14,501;26,007;34,608;49,407;82,564;99,285;88,988;101,791;98,149;112,027;128,269;57,711;46,476;49,162;43,194;45,588;39,768;46,093;67,906;308,854;315,879;270,958;368,924;214,886;114,872;0,317;0;0,622;0;0,612;0,304;0,904;1,496;2,081;1,179;3,208;1,443;0,573;1,425;0;0,942;71,565;55,535;66,087;63,751;66,579;63,718;49,048;50,682;53,375;64,951;63,033;69,836
Canudos do Vale;4304614;0;51,04645227;51,67958656;51,67958656;52,13764338;0;0;0;0;0;0;52,91005291;55,24861878;0;0;0;0;0;52,13764338;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;304,569;153,139;826,873;671,835;886,34;734,523;211,082;428,266;492,611;105,597;108,637;317,46;331,492;223,964;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;51,68;0;52,138;52,466;52,77;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;51,68;0;0;0;0;0;54,735;0;0;0;0;0;0;0;51,68;0;52,138;0;52,77;0;0;0;108,637;52,91;0;111,982;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52,77;107,066;54,735;52,798;54,318;0;0;0
Capão Bonito do Sul;4304622;0;0;0;53,47593583;54,20054201;0;110,4362231;0;58,34305718;106,3829787;0;45,78754579;0;92,42144177;0;0;0;0;0;0;0;0;0;0;0;0;0;46,21072089;0;0;0;0;0;0;0;0;0;53,19148936;0;0;0;0;106,44;1012,793;965,147;1764,706;2113,821;1473,799;2208,724;1462,317;1983,664;1702,128;1125,795;1236,264;1796,69;1848,429;0;0;0;0;0;54,585;0;56,243;0;0;48,948;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;106,61;0;53,476;54,201;218,341;0;0;0;0;48,948;137,363;47,281;138,632;0;0;0;0;0;0;0;0;0;0;0;0;0;0;53,22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;107,239;267,38;54,201;109,17;220,872;168,729;58,343;106,383;146,843;91,575;236,407;92,421
Capão da Canoa;4304630;607,9482495;558,7557604;585,5255855;578,7471197;543,9146313;531,0887319;608,8981612;657,8020016;473,1251279;633,0660388;664,0659244;466,6867392;436,5424145;515,4004107;20,96373274;14,40092166;36,07503608;37,51138739;25,90069673;30,06162633;55,79544903;77,52666447;47,7674408;59,97467736;61,365828;47,31386296;33,90620696;36,96098563;0;2,880184332;2,775002775;0;0;0;0;0;0;0;0;0;0;0;5336,767;7358,871;6687,757;5441,831;5677,433;5000,251;4883,315;5107,363;3666,72;3247,518;3234,856;3382,941;3170,23;3075,975;23,959;5,76;2,775;16,076;23,311;30,062;24,259;51,684;38,669;44,426;41,641;27,958;33,906;16,427;320,446;334,101;202,575;230,427;238,286;112,731;140,702;185,594;170,598;266,554;346,279;270,979;214,033;250,513;0;0;0;0;0;0;0;2,349;0;6,664;0;0;0;0;2,995;8,641;11,1;8,038;15,54;17,536;2,426;16,445;11,373;11,106;8,767;4,301;6,357;2,053;287,503;270,737;316,35;329,564;310,808;368,255;237,737;267,819;304,802;288,767;256,421;227,967;275,488;281,314;41,927;25,922;41,625;77,702;103,603;160,329;157,683;84,575;88,711;148,826;197,247;124,737;239,463;201,232;203,648;190,092;180,375;150,046;121,733;110,226;138,276;176,197;186,52;246,563;298,063;277,431;199,199;283,368;0;2,88;0;13,397;7,77;0;4,852;2,349;0;6,664;6,575;2,151;2,119;6,16;0;2,88;77,7;50,908;90,652;57,618;58,221;103,369;40,944;62,196;50,408;70,971;46,621;45,175
Capão do Cipó;4304655;0;0;36,24501631;0;69,46856547;102,5991792;67,09158001;32,99241175;129,1155584;0;0;32,8731098;32,34152652;0;0;0;0;0;0;0;0;65,98482349;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;147,493;579,92;1028,369;1319,903;1436,389;1710,835;2276,476;1710,781;880,626;981,997;788,955;646,831;907,029;0;0;0;0;0;0;0;32,992;0;0;0;0;0;32,394;0;0;0;35,461;0;68,399;67,092;0;32,279;0;0;32,873;32,342;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32,873;0;0;0;36,873;72,49;0;104,203;68,399;0;32,992;32,279;32,616;32,733;32,873;64,683;64,788;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34,734;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;36,245;106,383;104,203;170,999;234,821;131,97;322,789;97,847;130,933;197,239;129,366;64,788
Capão do Leão;4304663;145,2704105;380,0867589;152,3574223;242,4391847;254,140023;184,1545261;568,042501;204,0899629;134,4086022;104,589887;137,1742112;250,1815834;152,0790811;157,0968502;4,150583157;4,131377815;8,235536339;32,8731098;12,29709788;8,184645605;32,69309358;16,32719703;12,21896383;16,09075184;16,1381425;8,070373658;12,00624325;15,70968502;0;0;4,11776817;4,109138725;0;0;0;0;0;0;0;4,035186829;0;0;1033,495;1809,543;1474,161;1861,44;1606,821;1898,838;1924,806;2273,562;965,298;1122,33;895,667;907,917;816,425;769,775;4,151;4,131;12,353;0;8,198;0;12,26;0;4,073;0;8,069;4,035;8,004;11,782;49,807;12,394;32,942;12,327;32,792;20,462;8,173;16,327;12,219;8,045;20,173;36,317;48,025;15,71;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8,263;0;0;0;0;8,173;0;0;4,023;4,035;0;8,004;0;41,506;57,839;28,824;69,855;81,981;77,754;77,646;40,818;44,803;80,454;40,345;64,563;76,04;70,694;0;0;20,589;4,109;4,099;12,277;4,087;20,409;36,657;8,045;4,035;56,493;56,029;47,129;4,151;16,526;16,471;16,437;8,198;12,277;12,26;44,9;24,438;12,068;12,104;56,493;100,052;58,911;0;0;0;0;0;0;0;0;0;0;12,104;8,07;0;0;4,151;0;41,178;57,528;53,287;28,646;24,52;44,9;61,095;60,34;52,449;112,985;52,027;54,984
Capela de Santana;4304689;268,9204764;104,4436005;150,0234412;129,6296296;118,7323043;108,1178485;115,9989292;150,0971217;183,550389;104,6298718;69,55916877;76,17435463;126,4755481;141,0788382;86,43872455;9,494872769;28,12939522;83,33333333;45,66627089;36,03928282;44,61497278;70,63393961;61,18346298;43,59577993;52,16937658;25,39145154;33,72681282;74,68879668;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1037,265;1262,818;1537,74;1925,926;1753,585;1585,728;1320,603;1041,851;917,752;1177,086;904,269;1007,194;1003,373;879,668;9,604;37,979;9,376;0;27,4;0;8,923;26,488;0;8,719;8,695;33,855;8,432;24,896;28,813;9,495;37,506;18,519;63,933;27,029;26,769;79,463;52,443;8,719;26,085;59,247;42,159;41,494;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17,481;0;0;0;0;0;67,23;37,979;18,753;64,815;45,666;144,157;62,461;8,829;34,962;43,596;69,559;42,319;50,59;74,689;0;18,99;0;0;9,133;18,02;17,846;26,488;17,481;34,877;17,39;8,464;25,295;49,793;19,209;66,464;28,129;55,556;54,8;234,255;151,691;273,707;78,664;95,911;121,729;228,523;177,066;165,975;0;0;0;18,519;9,133;0;0;0;0;8,719;0;0;0;0;0;0;28,129;37,037;9,133;18,02;35,692;44,146;26,221;26,157;60,864;8,464;50,59;16,598
Capitão;4304697;76,39419404;0;0;0;37,35524841;36,96857671;0;72,96607078;0;0;0;0;33,76097232;32,99241175;0;0;0;0;0;73,93715342;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;343,774;875,523;1174,242;901,917;971,236;1035,12;697,248;985,042;511,696;689,155;494,35;444,141;573,937;725,833;0;0;37,879;0;0;36,969;0;0;0;0;0;0;0;0;0;38,066;0;37,58;0;36,969;36,697;0;36,55;0;0;68,329;67,522;32,992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;38,066;0;37,58;37,355;36,969;0;72,966;0;145,085;0;34,165;67,522;65,985;0;0;37,879;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;37,355;0;0;0;0;0;70,621;34,165;0;32,992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;75,758;75,16;0;0;0;0;0;0;0;0;67,522;0
Capivari do Sul;4304671;91,40767824;29,83293556;29,21413964;28,49814762;277,7777778;271,7391304;79,63897;52,19206681;152,4003048;98,61932939;24,0442414;71,51370679;93,37068161;94,45100354;0;0;0;28,49814762;0;0;0;52,19206681;0;0;0;0;0;94,45100354;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1249,238;1730,31;1840,491;1966,372;1722,222;1277,174;1274,224;808,977;1066,802;1183,432;817,504;1144,219;1073,763;1038,961;30,469;0;0;0;0;27,174;53,093;0;0;0;24,044;0;23,343;23,613;91,408;59,666;29,214;28,498;55,556;54,348;26,546;78,288;25,4;49,31;144,265;71,514;93,371;118,064;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23,838;0;0;152,346;0;87,642;142,491;83,333;217,391;106,185;26,096;101,6;172,584;96,177;71,514;70,028;23,613;0;59,666;29,214;28,498;0;0;26,546;0;50,8;73,964;96,177;23,838;70,028;94,451;152,346;29,833;146,071;142,491;166,667;54,348;0;52,192;25,4;73,964;48,088;47,676;163,399;94,451;0;0;0;0;27,778;0;0;0;0;0;0;23,838;0;0;0;0;204,499;227,985;83,333;0;26,546;0;50,8;49,31;48,088;166,865;46,685;47,226
Caraá;4304713;30,25260929;14,90535102;14,73405039;14,59214942;86,58008658;28,51846571;14,10039481;69,93006993;83,0449827;0;27,40476843;40,25764895;40,0160064;25,74665294;0;0;0;0;28,86002886;0;0;0;0;0;27,40476843;0;0;0;0;0;0;14,59214942;14,43001443;0;0;0;0;0;0;0;0;0;363,031;238,486;279,947;481,541;562,771;242,407;493,514;447,552;429,066;222,346;342,56;805,153;293,451;553,553;0;0;0;0;0;28,518;0;0;13,841;0;0;13,419;0;0;15,126;0;0;0;14,43;28,518;0;13,986;0;13,897;27,405;0;13,339;25,747;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12,873;0;14,905;0;0;28,86;42,778;0;13,986;27,682;13,897;13,702;26,838;26,677;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12,873;0;0;0;0;0;0;0;27,972;13,841;55,586;27,405;13,419;13,339;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14,734;0;0;14,259;0;27,972;27,682;41,69;68,512;13,419;40,016;38,62
Carazinho;4304705;203,4208608;224,0339588;200,9242516;203,0997686;291,7143189;219,7620621;207,6192987;308,8295688;293,5677502;284,3170704;282,6044829;206,0999185;217,4225832;429,3817537;18,64691224;21,89805613;11,72058134;8,323761008;39,7792253;31,3945803;31,30767203;26,28336756;52,48138551;35,74271742;16,1488276;31,95347574;25,57912743;64,96181513;0;3,368931712;0;0;1,657467721;3,304692664;0;0;0;0;1,61488276;1,597673787;1,598695465;0;2230,849;2408,786;2786,15;2733,523;3164,106;3193,985;2975,877;2656,263;2205,858;2029,212;1611,653;1605,662;1849,691;1549,577;10,171;8,422;10,046;11,653;9,945;14,871;8,239;3,285;19,681;12,997;20,993;4,793;4,796;33,273;155,956;94,33;142,321;161,481;124,31;76,008;59,32;75,565;80,362;217,706;101,738;145,388;151,876;171,119;0;0;0;0;0;0;1,648;0;0;0;0;0;0;0;5,086;3,369;5,023;11,653;11,602;4,957;1,648;3,285;4,92;9,748;0;0;4,796;0;233,934;259,408;209,296;221,412;192,266;211,5;224,097;183,984;223,046;175,464;151,799;225,272;166,264;147,352;5,086;18,529;15,069;13,318;14,917;21,481;21,421;29,569;45,921;71,485;54,906;54,321;76,737;68,131;72,892;75,801;55,254;54,937;48,067;46,266;36,251;45,996;52,481;84,483;75,899;78,286;150,277;129,924;1,695;1,684;5,023;3,33;0;0;0;0;0;0;4,845;6,391;1,599;1,584;1,695;1,684;66,975;79,908;64,641;62,789;54,376;42,71;80,362;82,858;92,048;92,665;81,533;106,157
Carlos Barbosa;4304804;124,6479849;90,28122602;88,38216448;103,6761847;152,1812648;107,6292586;97,35518416;123,0500536;89,38286958;103,045569;149,8616662;83,31124323;104,294707;125,3312325;32,31614422;9,028122602;35,35286579;56,15793339;50,72708827;103,4896717;97,35518416;67,47906164;50,52075237;45,79803068;57,63910237;56,80312038;67,04659739;85,9414166;0;0;0;0;0;4,139586869;0;0;0;0;0;3,786874692;0;0;1486,543;1345,19;1551,107;1282,993;1196,314;1076,293;1091,189;1123,328;1127,001;1148,767;1045,189;844,473;964,726;1031,297;0;4,514;4,419;0;0;0;0;0;0;0;3,843;11,361;3,725;0;92,332;112,852;194,441;194,393;114,136;82,792;52,734;39,694;124,359;122,128;99,908;41,656;70,771;96,684;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4,514;0;8,64;8,455;0;4,056;7,939;3,886;0;0;0;0;0;129,265;130,908;145,831;159,834;122,59;144,886;93,299;79,387;46,635;38,165;61,482;136,327;111,744;82,361;4,617;0;0;4,32;12,682;0;4,056;11,908;3,886;7,633;3,843;7,574;3,725;21,485;13,85;22,57;30,934;4,32;4,227;4,14;8,113;47,632;15,545;11,45;49,954;22,721;26,074;53,713;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13,257;8,64;8,455;4,14;12,169;7,939;11,659;7,633;46,111;34,082;22,349;17,904
Carlos Gomes;4304853;52,96610169;0;54,40696409;0;0;0;57,80346821;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;66,93440428;0;0;0;0;0;0;0;0;0;0;0;0;0;0;317,797;375,536;544,07;327,511;670,391;565,931;693,642;413,467;674,02;529,723;483,969;994,406;382,897;870,147;0;0;0;0;0;0;0;0;0;0;60,496;0;0;0;0;53,648;0;0;0;0;0;0;0;0;60,496;0;0;66,934;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;158,898;53,648;54,407;0;0;56,593;0;0;0;0;181,488;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;111,732;169,779;115,607;0;122,549;0;60,496;186,451;63,816;66,934
Casca;4304903;104,9073319;92,78589654;57,75672866;34,59808557;92,00690052;160,2747567;114,0901312;147,996357;136,1624872;150,0634884;207,6364056;163,4750117;153,7915533;115,4734411;11,65637021;0;46,20538293;0;11,50086256;68,68918145;68,45407872;22,76867031;56,73436968;46,17338105;103,8182028;93,41429239;23,66023897;138,5681293;0;0;0;0;0;0;0;0;0;0;0;0;0;11,54734411;1422,077;927,859;1247,545;1222,466;1196,09;915,856;764,404;774,135;782,934;657,971;957,435;957,496;1005,56;889,145;0;11,598;0;11,533;11,501;11,448;0;0;0;0;0;0;11,83;0;93,251;173,974;207,924;207,589;310,523;217,516;171,135;56,922;68,081;46,173;149,96;70,061;153,792;300,231;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11,598;0;0;0;22,896;0;22,769;22,694;11,543;0;11,677;0;0;104,907;81,188;103,962;126,86;46,003;68,689;79,863;68,306;124,816;92,347;161,495;116,768;201,112;196,305;0;0;0;0;0;22,896;0;22,769;34,041;69,26;11,535;23,354;11,83;11,547;23,313;34,795;0;34,598;0;11,448;11,409;0;68,081;23,087;34,606;151,798;35,49;23,095;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;46,205;57,663;92,007;22,896;102,681;56,922;124,816;23,087;92,283;70,061;23,66;23,095
Caseiros;4304952;137,5988992;102,2494888;33,99048266;34,02517863;67,59040216;67,40815639;67,13662303;33,59086329;135,6852103;70,54673721;140,4987706;98,48982272;164,2575558;61,53846154;34,3997248;0;0;0;0;67,40815639;33,56831151;33,59086329;33,92130258;35,27336861;70,24938532;131,3197636;32,85151117;61,53846154;0;0;0;0;0;0;0;0;0;0;0;0;0;0;997,592;1090,661;951,734;952,705;1081,446;1044,826;1107,754;705,408;712,347;881,834;842,993;1017,728;722,733;1169,231;0;0;0;0;0;0;0;33,591;33,921;0;0;0;32,852;0;0;102,249;101,971;306,227;0;67,408;0;33,591;101,764;70,547;70,249;164,15;98,555;92,308;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;170,416;203,943;102,076;67,59;337,041;100,705;67,182;33,921;35,273;140,499;131,32;32,852;61,538;0;0;0;34,025;0;0;0;0;33,921;0;0;0;0;0;0;0;33,99;0;33,795;0;0;0;0;0;0;32,83;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33,99;102,076;0;0;33,568;0;101,764;0;35,125;0;131,406;30,769
Catuípe;4305009;49,21744266;19,84323842;59,86231667;50,17057997;50,53567819;91,78990311;20,56978299;72,71971743;52,3341009;73,48309889;41,75365344;31,35123837;52,5265259;32,00682812;19,68697706;0;0;20,06823199;10,10713564;20,39775625;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1545,428;1111,221;1436,696;1434,879;1991,106;1815,4;1306,181;1620,611;1287,419;766,324;1064,718;971,888;1040,025;1066,894;9,843;19,843;9,977;0;20,214;0;0;0;10,467;0;0;20,901;0;10,669;39,374;109,138;29,931;30,102;20,214;20,398;0;41,554;31,4;31,493;31,315;20,901;10,505;32,007;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9,843;0;9,977;0;10,107;0;0;0;10,467;20,995;0;0;0;0;68,904;208,354;119,725;80,273;70,75;101,989;154,273;135,051;83,735;31,493;104,384;73,153;136,569;117,358;0;0;9,977;0;0;0;0;10,389;10,467;10,498;156,576;10,45;0;0;19,687;39,686;39,908;30,102;10,107;0;20,57;20,777;20,934;31,493;10,438;41,802;52,527;21,338;0;0;0;0;0;0;0;0;0;0;10,438;0;0;21,338;0;0;59,862;60,205;90,964;71,392;30,855;166,216;94,201;94,478;187,891;73,153;189,095;64,014
