Mes;Ano;TxDesemprego;Data
3;2009;11,7;mar-09
4;2009;12,1;abr-09
5;2009;12,6;mai-09
6;2009;12,0;jun-09
7;2009;12,0;jul-09
8;2009;11,6;ago-09
9;2009;11,3;set-09
10;2009;10,4;out-09
11;2009;10,0;nov-09
12;2009;9,4;dez-09
1;2010;9,7;jan-10
2;2010;9,6;fev-10
3;2010;9,8;mar-10
4;2010;9,6;abr-10
5;2010;9,6;mai-10
6;2010;9,5;jun-10
7;2010;8,9;jul-10
8;2010;8,7;ago-10
9;2010;8,5;set-10
10;2010;8,2;out-10
11;2010;7,7;nov-10
12;2010;7,2;dez-10
1;2011;7,3;jan-11
2;2011;7,3;fev-11
3;2011;7,4;mar-11
4;2011;7,4;abr-11
5;2011;7,7;mai-11
6;2011;7,8;jun-11
7;2011;8,0;jul-11
8;2011;7,7;ago-11
9;2011;7,7;set-11
10;2011;7,1;out-11
11;2011;7,0;nov-11
12;2011;6,4;dez-11
1;2012;6,5;jan-12
2;2012;7,0;fev-12
3;2012;7,6;mar-12
4;2012;7,8;abr-12
5;2012;7,3;mai-12
6;2012;7,2;jun-12
7;2012;7,0;jul-12
8;2012;6,9;ago-12
9;2012;6,9;set-12
10;2012;7,0;out-12
11;2012;7,0;nov-12
12;2012;6,5;dez-12
1;2013;6,3;jan-13
2;2013;6,2;fev-13
3;2013;6,5;mar-13
4;2013;6,5;abr-13
5;2013;6,5;mai-13
6;2013;6,6;jun-13
7;2013;6,7;jul-13
8;2013;6,5;ago-13
9;2013;6,2;set-13
10;2013;6,1;out-13
11;2013;6,2;nov-13
12;2013;6,1;dez-13
1;2014;5,7;jan-14
2;2014;5,6;fev-14
3;2014;6,0;mar-14
4;2014;6,1;abr-14
5;2014;6,2;mai-14
6;2014;5,7;jun-14
7;2014;5,7;jul-14
8;2014;5,9;ago-14
9;2014;6,0;set-14
10;2014;6,5;out-14
11;2014;6,3;nov-14
12;2014;6,1;dez-14
1;2015;5,7;jan-15
2;2015;5,8;fev-15
3;2015;6,3;mar-15
4;2015;7,3;abr-15
5;2015;7,8;mai-15
6;2015;8,5;jun-15
7;2015;9,4;jul-15
8;2015;9,7;ago-15
9;2015;10,1;set-15
10;2015;10,1;out-15
11;2015;10,2;nov-15
12;2015;9,6;dez-15
1;2016;9,7;jan-16
2;2016;10,1;fev-16
3;2016;10,7;mar-16
4;2016;10,5;abr-16
5;2016;10,2;mai-16
6;2016;10,3;jun-16
7;2016;10,4;jul-16
8;2016;10,7;ago-16
9;2016;11,0;set-16
10;2016;10,8;out-16
11;2016;10,8;nov-16
12;2016;10,7;dez-16
1;2017;10,6;jan-17
2;2017;10,8;fev-17
3;2017;10,8;mar-17
4;2017;11,3;abr-17
5;2017;11,1;mai-17
6;2017;11,0;jun-17
7;2017;10,4;jul-17
8;2017;10,3;ago-17
9;2017;10,3;set-17
10;2017;12,0;out-17
